
DisplayName                                                                                  DisplayVersion      Publisher      
Microsoft ASP.NET Core Module for IIS Express                                                12.2.18292.0        Microsoft Co...
Microsoft ASP.NET Core Module V2 for IIS Express                                             17.0.22116.0        Microsoft Co...
Microsoft ASP.NET Core Runtime - 10.0.9 (x64)                                                80.36.53633         Microsoft Co...
Microsoft ASP.NET Core Runtime - 10.0.9 (x86)                                                80.36.53633         Microsoft Co...
Microsoft ASP.NET Core Targeting Pack - 10.0.9 (x64)                                         80.36.53633         Microsoft Co...
Microsoft ASP.NET Core Targeting Pack - 10.0.9 (x86)                                         80.36.53633         Microsoft Co...
Microsoft ASP.NET Diagnostic Pack for Visual Studio                                          18.7.33.39587       Microsoft Co...
Microsoft ASP.NET Web Tools Packages 17.0 - ENU                                              17.0.50411.0        Microsoft Co...
Microsoft ASP.NET Web Tools Packages 17.0 - ESN                                              17.0.50411.0        Microsoft Co...
Microsoft ASP.NET Web Tools Packages 18.0 - ENU                                              18.0.60427.0        Microsoft Co...
Microsoft ASP.NET Web Tools Packages 18.0 - ESN                                              18.0.60427.0        Microsoft Co...
Microsoft Command Line Utilities 15 for SQL Server                                           15.0.1300.359       Microsoft Co...
Microsoft Edge                                                                               149.0.4022.69       Microsoft Co...
Microsoft Exchange Web Services Managed API 2.1                                              15.0.847.30         Microsoft Co...
Microsoft Help Viewer 2.3                                                                    2.3.28307           Microsoft Co...
Microsoft Help Viewer 2.3                                                                    2.3.28307           Microsoft Co...
Microsoft NetStandard SDK                                                                    15.0.51105          Microsoft Co...
Microsoft ODBC Driver 17 for SQL Server                                                      17.11.1.1           Microsoft Co...
Microsoft OLE DB Driver 19 for SQL Server                                                    19.4.1.0            Microsoft Co...
Microsoft OLE DB Driver for SQL Server                                                       18.7.4.0            Microsoft Co...
Microsoft OneDrive                                                                           26.095.0519.0003    Microsoft Co...
Microsoft SQL Server 2019 LocalDB                                                            15.0.4382.1         Microsoft Co...
Microsoft SQL Server 2022 (64-bit)                                                                                              
Microsoft SQL Server 2022 (64-bit)                                                                               Microsoft Co...
Microsoft SQL Server 2022 RsFx Driver                                                        16.0.1000.6         Microsoft Co...
Microsoft SQL Server 2022 Setup (English)                                                    16.0.1180.1         Microsoft Co...
Microsoft SQL Server 2025 LocalDB                                                            17.0.4025.3         Microsoft Co...
Microsoft SQL Server Management Studio - 20.2.1                                              20.2.37.0           Microsoft Co...
Microsoft System CLR Types para SQL Server 2019                                              15.0.2000.5         Microsoft Co...
Microsoft TestPlatform SDK Local Feed                                                        17.10.0.9037153     Microsoft      
Microsoft UniversalWindowsPlatform SDK                                                       15.9.16             Microsoft      
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17                                 9.0.30729           Microsoft Co...
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219                                  10.0.40219          Microsoft Co...
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219                                  10.0.40219          Microsoft Co...
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501                                 12.0.30501.0        Microsoft Co...
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664                                 12.0.40664.0        Microsoft Co...
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664                                 12.0.40664.0        Microsoft Co...
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664                                12.0.40664          Microsoft Co...
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664                                   12.0.40664          Microsoft Co...
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664                                12.0.40664          Microsoft Co...
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664                                   12.0.40664          Microsoft Co...
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.51.36247                               14.51.36247         Microsoft Co...
Microsoft Visual C++ 2022 X64 Debug Runtime - 14.51.36247                                    14.51.36247         Microsoft Co...
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.51.36247                                  14.51.36247         Microsoft Co...
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.51.36247                               14.51.36247         Microsoft Co...
Microsoft Visual C++ 2022 X86 Debug Runtime - 14.51.36247                                    14.51.36247         Microsoft Co...
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.51.36247                                  14.51.36247         Microsoft Co...
Microsoft Visual C++ v14 Redistributable (x64) - 14.51.36247                                 14.51.36247.0       Microsoft Co...
Microsoft Visual C++ v14 Redistributable (x86) - 14.51.36247                                 14.51.36247.0       Microsoft Co...
Microsoft Visual Studio 2010 Tools for Office Runtime (x64)                                  10.0.60917          Microsoft Co...
Microsoft Visual Studio 2010 Tools for Office Runtime (x64)                                  10.0.60922          Microsoft Co...
Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - ESN              10.0.60917          Microsoft Co...
Microsoft Visual Studio Code                                                                 1.124.2             Microsoft Co...
Microsoft Visual Studio Installer                                                            4.7.25.22189        Microsoft Co...
Microsoft Visual Studio Setup Configuration                                                  4.7.7.8087          Microsoft Co...
Microsoft Visual Studio Setup WMI Provider                                                   4.7.7.8087          Microsoft Co...
Microsoft Visual Studio Tools for Applications 2019                                          16.0.31110          Microsoft Co...
Microsoft Visual Studio Tools for Applications 2019 x64 Hosting Support                      16.0.31110          Microsoft Co...
Microsoft Visual Studio Tools for Applications 2019 x86 Hosting Support                      16.0.31110          Microsoft Co...
Microsoft VSS Writer para SQL Server 2022                                                    16.0.1000.6         Microsoft Co...
Microsoft Web Deploy 4.0                                                                     10.0.9419           Microsoft Co...
Microsoft Windows Communication Foundation Diagnostic Pack for x86                           18.7.11811          Microsoft      
Microsoft Windows Communication Foundation Diagnostic Pack for x86                           17.14.36015         Microsoft      
Microsoft Windows Desktop Runtime - 10.0.9 (x64)                                             80.36.53633         Microsoft Co...
Microsoft Windows Desktop Runtime - 10.0.9 (x86)                                             80.36.53633         Microsoft Co...
Microsoft Windows Desktop Runtime - 3.1.32 (x64)                                             24.192.31915        Microsoft Co...
Microsoft Windows Desktop Runtime - 3.1.32 (x86)                                             24.192.31915        Microsoft Co...
Microsoft Windows Desktop Runtime - 5.0.17 (x64)                                             40.68.31219         Microsoft Co...
Microsoft Windows Desktop Runtime - 5.0.17 (x86)                                             40.68.31219         Microsoft Co...
Microsoft Windows Desktop Runtime - 6.0.36 (x64)                                             48.144.23186        Microsoft Co...
Microsoft Windows Desktop Runtime - 6.0.36 (x86)                                             48.144.23186        Microsoft Co...
Microsoft Windows Desktop Runtime - 7.0.12 (x86)                                             7.0.12.32928        Microsoft Co...
Microsoft Windows Desktop Runtime - 7.0.12 (x86)                                             56.48.2562          Microsoft Co...
Microsoft Windows Desktop Runtime - 7.0.20 (x64)                                             56.80.15245         Microsoft Co...
Microsoft Windows Desktop Runtime - 7.0.20 (x64)                                             7.0.20.33720        Microsoft Co...
Microsoft Windows Desktop Runtime - 8.0.28 (x64)                                             64.112.53617        Microsoft Co...
Microsoft Windows Desktop Runtime - 8.0.28 (x86)                                             64.112.53617        Microsoft Co...
Microsoft Windows Desktop Runtime - 9.0.17 (x64)                                             72.68.53601         Microsoft Co...
Microsoft Windows Desktop Runtime - 9.0.17 (x86)                                             72.68.53601         Microsoft Co...
Microsoft Windows Desktop Runtime 10.0.9 (x64)                                               10.0.9.50000        Microsoft Co...
Microsoft Windows Desktop Targeting Pack - 10.0.9 (x64)                                      80.36.53633         Microsoft Co...
Microsoft Windows Desktop Targeting Pack - 10.0.9 (x86)                                      80.36.53633         Microsoft Co...
Microsoft Windows Desktop Targeting Pack - 3.1.0 (x64)                                       24.64.28315         Microsoft Co...
Microsoft Windows Desktop Targeting Pack - 5.0.0 (x64)                                       40.0.29420          Microsoft Co...
Microsoft Windows Desktop Targeting Pack - 6.0.36 (x64)                                      48.144.23186        Microsoft Co...
Microsoft Windows Desktop Targeting Pack - 6.0.36 (x86)                                      48.144.23186        Microsoft Co...
Microsoft Windows Desktop Targeting Pack - 7.0.20 (x64)                                      56.80.15245         Microsoft Co...
Microsoft Windows Desktop Targeting Pack - 8.0.28 (x64)                                      64.112.53617        Microsoft Co...
Microsoft Windows Desktop Targeting Pack - 8.0.28 (x86)                                      64.112.53617        Microsoft Co...
Microsoft Windows Desktop Targeting Pack - 9.0.17 (x64)                                      72.68.53601         Microsoft Co...
Microsoft Windows Desktop Targeting Pack - 9.0.17 (x86)                                      72.68.53601         Microsoft Co...
