
DisplayName                                                                                  DisplayVersion      Publis
Microsoft ASP.NET Core 5.0.17 Shared Framework (x64)                                         5.0.17.22215        Mic...
Microsoft ASP.NET Core 5.0.17 Shared Framework (x86)                                         5.0.17.22215        Mic...
Microsoft ASP.NET Core 6.0.36 Shared Framework (x64)                                         6.0.36.24516        Mic...
Microsoft ASP.NET Core 6.0.36 Shared Framework (x86)                                         6.0.36.24516        Mic...
Microsoft ASP.NET Core 6.0.36 Targeting Pack (x64)                                           6.0.36.24516        Mic...
Microsoft ASP.NET Core 6.0.36 Targeting Pack (x86)                                           6.0.36.24516        Mic...
Microsoft ASP.NET Core 7.0.20 Shared Framework (x64)                                         7.0.20.24269        Mic...
Microsoft ASP.NET Core 7.0.20 Targeting Pack (x64)                                           7.0.20.24269        Mic...
Microsoft ASP.NET Core 8.0.28 Shared Framework (x64)                                         8.0.28.26269        Mic...
Microsoft ASP.NET Core 8.0.28 Shared Framework (x86)                                         8.0.28.26269        Mic...
Microsoft ASP.NET Core 8.0.28 Targeting Pack (x64)                                           8.0.28.26269        Mic...
Microsoft ASP.NET Core 8.0.28 Targeting Pack (x86)                                           8.0.28.26269        Mic...
Microsoft ASP.NET Core 9.0.17 Shared Framework (x64)                                         9.0.17.26269        Mic...
Microsoft ASP.NET Core 9.0.17 Shared Framework (x86)                                         9.0.17.26269        Mic...
Microsoft ASP.NET Core 9.0.17 Targeting Pack (x64)                                           9.0.17.26269        Mic...
Microsoft ASP.NET Core 9.0.17 Targeting Pack (x86)                                           9.0.17.26269        Mic...
Microsoft ASP.NET Core Module for IIS Express                                                12.2.18292.0        Mic...
Microsoft ASP.NET Core Module V2 for IIS Express                                             17.0.22116.0        Mic...
Microsoft ASP.NET Core Runtime - 10.0.9 (x64)                                                80.36.53633         Mic...
Microsoft ASP.NET Core Runtime - 10.0.9 (x86)                                                80.36.53633         Mic...
Microsoft ASP.NET Core Targeting Pack - 10.0.9 (x64)                                         80.36.53633         Mic...
Microsoft ASP.NET Core Targeting Pack - 10.0.9 (x86)                                         80.36.53633         Mic...
Microsoft ASP.NET Diagnostic Pack for Visual Studio                                          18.7.33.39587       Mic...
Microsoft ASP.NET Web Tools Packages 17.0 - ENU                                              17.0.50411.0        Mic...
Microsoft ASP.NET Web Tools Packages 17.0 - ESN                                              17.0.50411.0        Mic...
Microsoft ASP.NET Web Tools Packages 18.0 - ENU                                              18.0.60427.0        Mic...
Microsoft ASP.NET Web Tools Packages 18.0 - ESN                                              18.0.60427.0        Mic...
Microsoft Command Line Utilities 15 for SQL Server                                           15.0.1300.359       Mic...
Microsoft Edge                                                                               149.0.4022.69       Mic...
Microsoft Exchange Web Services Managed API 2.1                                              15.0.847.30         Mic...
Microsoft Help Viewer 2.3                                                                    2.3.28307           Mic...
Microsoft Help Viewer 2.3                                                                    2.3.28307           Mic...
Microsoft NetStandard SDK                                                                    15.0.51105          Mic...
Microsoft ODBC Driver 17 for SQL Server                                                      17.11.1.1           Mic...
Microsoft OLE DB Driver 19 for SQL Server                                                    19.4.1.0            Mic...
Microsoft OLE DB Driver for SQL Server                                                       18.7.4.0            Mic...
Microsoft OneDrive                                                                           26.095.0519.0003    Mic...
Microsoft SQL Server 2019 LocalDB                                                            15.0.4382.1         Mic...
Microsoft SQL Server 2022 (64-bit)                                                                               Mic...
Microsoft SQL Server 2022 (64-bit)                                                                                     
Microsoft SQL Server 2022 RsFx Driver                                                        16.0.1000.6         Mic...
Microsoft SQL Server 2022 Setup (English)                                                    16.0.1180.1         Mic...
Microsoft SQL Server 2025 LocalDB                                                            17.0.4025.3         Mic...
Microsoft SQL Server Management Studio - 20.2.1                                              20.2.37.0           Mic...
Microsoft System CLR Types para SQL Server 2019                                              15.0.2000.5         Mic...
Microsoft TestPlatform SDK Local Feed                                                        17.10.0.9037153     Mic...
Microsoft UniversalWindowsPlatform SDK                                                       15.9.16             Mic...
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17                                 9.0.30729           Mic...
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161                               9.0.30729.6161      Mic...
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219                                  10.0.40219          Mic...
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219                                  10.0.40219          Mic...
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501                                 12.0.30501.0        Mic...
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664                                 12.0.40664.0        Mic...
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664                                 12.0.40664.0        Mic...
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664                                12.0.40664          Mic...
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664                                   12.0.40664          Mic...
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664                                12.0.40664          Mic...
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664                                   12.0.40664          Mic...
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.51.36247                               14.51.36247         Mic...
Microsoft Visual C++ 2022 X64 Debug Runtime - 14.51.36247                                    14.51.36247         Mic...
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.51.36247                                  14.51.36247         Mic...
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.51.36247                               14.51.36247         Mic...
Microsoft Visual C++ 2022 X86 Debug Runtime - 14.51.36247                                    14.51.36247         Mic...
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.51.36247                                  14.51.36247         Mic...
Microsoft Visual C++ v14 Redistributable (x64) - 14.51.36247                                 14.51.36247.0       Mic...
Microsoft Visual C++ v14 Redistributable (x86) - 14.51.36247                                 14.51.36247.0       Mic...
Microsoft Visual Studio 2010 Tools for Office Runtime (x64)                                  10.0.60917          Mic...
Microsoft Visual Studio 2010 Tools for Office Runtime (x64)                                  10.0.60922          Mic...
Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - ESN              10.0.60917          Mic...
Microsoft Visual Studio Code                                                                 1.124.2             Mic...
Microsoft Visual Studio Installer                                                            4.7.25.22189        Mic...
Microsoft Visual Studio Setup Configuration                                                  4.7.7.8087          Mic...
Microsoft Visual Studio Setup WMI Provider                                                   4.7.7.8087          Mic...
Microsoft Visual Studio Tools for Applications 2019                                          16.0.31110          Mic...
Microsoft Visual Studio Tools for Applications 2019 x64 Hosting Support                      16.0.31110          Mic...
Microsoft Visual Studio Tools for Applications 2019 x86 Hosting Support                      16.0.31110          Mic...
Microsoft VSS Writer para SQL Server 2022                                                    16.0.1000.6         Mic...
Microsoft Web Deploy 4.0                                                                     10.0.9419           Mic...
Microsoft Windows Communication Foundation Diagnostic Pack for x86                           18.7.11811          Mic...
Microsoft Windows Communication Foundation Diagnostic Pack for x86                           17.14.36015         Mic...
Microsoft Windows Desktop Runtime - 10.0.9 (x64)                                             80.36.53633         Mic...
Microsoft Windows Desktop Runtime - 10.0.9 (x86)                                             80.36.53633         Mic...
